exp,kind,n_points,v,D,R2,RMSE
Exp 1,load,1462,0.00013672986623626836,1.1130598478672517e-07,0.9970203032046615,0.02198713872067721
Exp 2,unload,3159,0.00011359171615500175,1.1419975715090758e-07,0.9989377020704358,0.01348455552828555
Exp 3,load,551,0.0003727739278699735,2.4282263297576704e-07,0.9939696001875752,0.032233714585265506
Exp 4,unload,1479,0.0002955472586687142,3.076345691789945e-07,0.995545633446746,0.02650616203392774
Exp 5,load,709,0.000653919986423083,6.568951007221517e-07,0.9943074984743999,0.032085160225537576
Exp 6,unload,1392,0.0005942152583262745,8.067900364347188e-07,0.9954610401656728,0.025802900048938923
Exp 7,load,1312,0.001139936263600213,1.6780708851969303e-06,0.9911422163449428,0.03716585809113244
Exp 8,unload,2205,0.001050826613163243,1.8461631310039988e-06,0.9961600089292099,0.02144115968406921
Exp 9,load,679,6.510333356450152e-05,2.7240497976245918e-08,0.9988977316653538,0.01299239162775006
Exp 10,unload,1099,5.489894595651258e-05,2.3984285164650423e-08,0.9983261304752143,0.01796931172693249
