exp,kind,n_points_requested,seed,v_gt,D_gt,v_err_pct,D_err_pct,rmse_pinn,interior_rmse_pinn,final_loss,rmse_dnn
Exp 1,load,full,0,0.00013673,1.1131e-07,3.7,16.9,0.0091,0.0243,0.1107,0.0011
Exp 1,load,full,1,0.00013673,1.1131e-07,2.3,8.1,0.0067,0.016,0.03174,0.0011
Exp 1,load,full,2,0.00013673,1.1131e-07,0.8,0.4,0.0063,0.0226,0.03615,0.0011
Exp 1,load,500,0,0.00013673,1.1131e-07,3.7,17.0,0.0091,0.0243,0.1109,0.0013
Exp 1,load,500,1,0.00013673,1.1131e-07,2.3,7.8,0.0132,0.0152,0.03663,0.0011
Exp 1,load,500,2,0.00013673,1.1131e-07,0.8,0.5,0.0081,0.0201,0.03704,0.0011
Exp 1,load,100,0,0.00013673,1.1131e-07,3.6,15.8,0.0526,0.0169,0.1938,0.0024
Exp 1,load,100,1,0.00013673,1.1131e-07,2.3,8.0,0.0067,0.0164,0.03227,0.0042
Exp 1,load,100,2,0.00013673,1.1131e-07,0.5,2.2,0.0066,0.0237,0.0388,0.0011
Exp 1,load,50,0,0.00013673,1.1131e-07,3.2,4.7,0.0078,0.0219,0.1014,0.0019
Exp 1,load,50,1,0.00013673,1.1131e-07,2.4,8.5,0.007,0.0181,0.03549,0.0012
Exp 1,load,50,2,0.00013673,1.1131e-07,0.5,3.0,0.0065,0.0238,0.03849,0.0011
Exp 1,load,20,0,0.00013673,1.1131e-07,3.6,13.0,0.0082,0.0226,0.1052,0.0013
Exp 1,load,20,1,0.00013673,1.1131e-07,2.3,7.5,0.0073,0.0173,0.03758,0.0128
Exp 1,load,20,2,0.00013673,1.1131e-07,0.5,4.6,0.0066,0.0236,0.04136,0.0019
Exp 1,load,10,0,0.00013673,1.1131e-07,3.7,18.6,0.0108,0.0222,0.1022,0.0067
Exp 1,load,10,1,0.00013673,1.1131e-07,2.2,6.7,0.014,0.0144,0.08785,0.0035
Exp 1,load,10,2,0.00013673,1.1131e-07,0.1,4.9,0.0078,0.0232,0.04487,0.0031
Exp 2,unload,full,0,0.00011359,1.142e-07,4.2,16.3,0.0066,0.0178,0.08413,0.0027
Exp 2,unload,full,1,0.00011359,1.142e-07,4.5,20.9,0.0306,0.0375,0.1251,0.0024
Exp 2,unload,full,2,0.00011359,1.142e-07,3.3,26.7,0.0081,0.0227,0.02968,0.0023
Exp 2,unload,500,0,0.00011359,1.142e-07,4.2,16.4,0.0067,0.0172,0.08399,0.0027
Exp 2,unload,500,1,0.00011359,1.142e-07,4.5,20.8,0.0079,0.0172,0.05577,0.0024
Exp 2,unload,500,2,0.00011359,1.142e-07,3.3,27.3,0.0076,0.0234,0.0296,0.0071
Exp 2,unload,100,0,0.00011359,1.142e-07,4.2,16.8,0.0067,0.0175,0.08375,0.0027
Exp 2,unload,100,1,0.00011359,1.142e-07,4.5,21.4,0.0122,0.0135,0.05852,0.0025
Exp 2,unload,100,2,0.00011359,1.142e-07,3.3,26.7,0.0076,0.0234,0.02922,0.0024
Exp 2,unload,50,0,0.00011359,1.142e-07,4.2,17.5,0.0069,0.0175,0.08397,0.0103
Exp 2,unload,50,1,0.00011359,1.142e-07,4.5,21.8,0.0081,0.0181,0.05647,0.0025
Exp 2,unload,50,2,0.00011359,1.142e-07,3.3,27.1,0.0077,0.0233,0.02891,0.0025
Exp 2,unload,20,0,0.00011359,1.142e-07,4.3,18.2,0.0074,0.0178,0.08421,0.0032
Exp 2,unload,20,1,0.00011359,1.142e-07,4.8,24.2,0.0127,0.0159,0.06501,0.0032
Exp 2,unload,20,2,0.00011359,1.142e-07,3.6,29.8,0.0087,0.024,0.02988,0.0034
Exp 2,unload,10,0,0.00011359,1.142e-07,3.2,20.8,0.0122,0.0153,0.07723,0.0043
Exp 2,unload,10,1,0.00011359,1.142e-07,3.8,35.6,0.0109,0.0197,0.05771,0.0051
Exp 2,unload,10,2,0.00011359,1.142e-07,2.1,40.0,0.0143,0.0218,0.03079,0.0059
Exp 3,load,full,0,0.00037277,2.4282e-07,2.1,2.8,0.0113,0.0226,0.1116,0.0014
Exp 3,load,full,1,0.00037277,2.4282e-07,0.9,0.7,0.0094,0.0152,0.04401,0.0023
Exp 3,load,full,2,0.00037277,2.4282e-07,0.7,10.5,0.0085,0.0226,0.04104,0.0011
Exp 3,load,500,0,0.00037277,2.4282e-07,2.1,2.4,0.011,0.0226,0.1096,0.0012
Exp 3,load,500,1,0.00037277,2.4282e-07,0.9,1.0,0.0095,0.0151,0.04394,0.0012
Exp 3,load,500,2,0.00037277,2.4282e-07,0.7,10.7,0.0085,0.0228,0.0411,0.0011
